Sample,V,Zn,Cr,Cu,Pb,Ni,PLI,Mn,Fe,Al,pH,OM,TN,AP,AS
CC29,107.487,33.966,25.101,4.689,19.485,5.121,0.515341276,320.78,73.98,219.63,8.033,51.59,3.07,27.81,106.88
CC3,1640,1750,513.55,636.45,206.98,36.552,9.619749743,2880,261.23,318.79,6.803,33.63,6.42,3.58,11.78
CC30,126.909,56.727,83.907,17.109,30.177,20.583,1.184176254,724.76,121.95,330.64,7.21,31.72,2.67,3.08,0.04
CC31,136.377,28.935,275.607,18.801,8.883,113.913,1.060979957,104.22,14.98,78.96,9.2,4.13,5.36,0,0
CC33,198.36,77.29,69.28,15.6,40.39,6.392,1.007086811,658.51,19.86,40.04,7.882,28.04,3.65,9.29,30.09
CC34,778.1125,125.575,189.7875,134.175,34.35,18.515,2.248846359,1880,101.74,203.81,7.385,28.51,5.03,1.48,15.3
CC35,252.48,72.08,58.59,31.55,31.14,132.412,1.644602157,628.97,100.98,56.17,8.847,13.76,3.58,5.24,28.02
CC36,249.05,263.2,114.01,35.04,153.35,13.52,2.108050627,913.57,165.14,379.99,8.44,18.25,2.36,0,4.19
CC37,1360,147.31,156.16,36.6,38.12,20.328,2.046812792,454.77,198.36,75.36,8.272,10.64,3.05,1.85,72
CC39,221.15,46.99,29.04,19.54,37.51,2.604,0.665626368,269.48,153.08,393.7,6.569,18.7,4.69,0,3.18
CC4,104.67,53.163,57.42,6.552,20.295,96.021,1.077794117,590.06,83.78,99.08,8.388,10.57,2.36,7.61,40.45
CC40,1080,199.65,949.59,25.4,36.38,5.528,2.574186754,1920,13.93,18.37,6.66,20.52,4.13,1.85,53.7
CC5,64.48,57.195,38.3925,11.4,11.8125,12.0375,0.804179237,569.14,101.28,9.87,8.484,26.14,4.55,4.66,3.67
CC6,185.07,71.68,101.28,26.31,16.65,60.12,1.355515816,637.14,10.91,14.45,6.994,29.23,3.51,3.47,9.81
CC7,72.4,54.015,57.6975,23.16,22.35,11.355,1.027174106,507.25,107.24,161.43,5.363,33.07,4.36,0,14.52
CC8,131.661,42.597,61.353,17.145,29.214,10.8,0.879254178,310.99,174.55,261.2,7.92,10.32,3.26,10.5,11.38
CC9,71.9,147.105,67.3425,19.7925,19.3425,131.8275,1.701886005,640.06,14.3,35.33,8.766,20.52,2.25,12.93,6.22
EC1,388.2,99.21,110.22,47.35,61.23,123.38,2.533604696,1090,19.36,35.69,8.243,12.38,1.25,1.55,2.06
EC10,65.01,124.65,78.3675,32.67,25.635,35.835,1.519767402,551.71,39.45,16.78,6.4,38.24,4.58,1.85,3.97
EC12,159.42,38.3,44.66,42.15,38.11,11.752,1.004117347,536.04,84.66,214.73,8.52,20.52,4.23,0.98,25.52
EC14,718.7375,101.5125,102.0875,46.375,63.9375,135.99,1.985237833,413.86,90.45,17.56,5.46,19.26,1.48,0.96,0
EC15,1480,414.4,853.42,178.5,104.95,36.56,5.207881971,777.09,100.96,42.96,8.439,26.86,0.42,0,7.67
EC17,208.19,48.24,39.91,8.9,29,3.756,0.672018226,427.09,107.43,261.75,8.428,37.23,3.98,1.86,1.5
EC19,66.25,123.9825,99.9,21.1425,47.3775,23.985,1.640137668,882.3,166.7,312.91,9.104,9.01,4.13,0,4.19
EC2,103.284,30.465,25.155,5.076,11.664,8.163,0.525929945,414.56,119.36,20.22,8.094,31.64,10.82,6.68,1.05
EC21,61.86,29.51,30.58,12.18,5.56,7.18,0.489864935,668.63,80.22,0.74,8.981,8.25,3.66,7.37,0.73
EC4,63.55,53.6925,119.3325,6.8025,37.92,3.27,0.784120558,337.62,16.45,33.97,7.05,30.27,3.4,16.58,11.6
EC6,79.24,74.1975,72.945,21.765,32.085,68.85,1.515471278,456.06,78.65,7.36,5.695,33.71,2.94,0.67,13.51
EC7,247.89,73.13,90.19,34.55,46.02,142.432,2.295247727,2430,100.85,10.36,6.67,23.02,1.25,5.59,92.66
EC8,382.8,299.47,156.31,60.63,69.07,121.536,3.117955656,842.19,10.69,15.37,8.505,9.96,6.85,1.95,101.75
